file,info,total,!,",",.,?,a,aby,albo,ale,ani,aż,bardzo,bez,bo,by,choć,co,coraz,czy,dla,do,dotąd,dziś,gdy,gdyby,gdzie,i,jak,jakby,jako,jeszcze,jeśli,już,kiedy,kiedyś,ku,lecz,ledwie,może,na,nad,nawet,ni,niby,nie,niech,niegdyś,nieraz,nigdy,niż,o,od,po,pod,potem,przecież,przed,przez,przy,razem,sam,się,stąd,tak,tam,teraz,też,to,tu,tuż,tyle,tylko,tym,tymczasem,u,w,we,więc,wkoło,wnet,wszystko,wtem,wtenczas,właśnie,z,za,zaraz,ze,znowu,że,żeby
txt/liryki-lozanskie-ach-juz-i-w-rodzicielskim-domu.txt,"Adam Mickiewicz: Liryki lozańskie (Ach, już i w rodzicielskim domu…)",62,0,5,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
txt/nie-udalo-sie.txt,Anton Czechow: Nie udało się (tłum. A. W.),601,21,47,35,3,8,0,0,1,2,0,0,0,0,1,0,7,0,0,0,5,0,0,0,0,0,22,2,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,12,2,0,0,0,0,6,1,1,0,0,0,0,0,0,0,1,15,0,1,1,0,0,7,1,0,0,1,1,0,0,8,0,1,0,0,0,0,0,0,7,3,1,5,0,2,1
txt/krol-edyp.txt,Sofokles: Król Edyp (tłum. Kazimierz Morawski),15936,76,1556,680,201,122,27,8,17,12,10,0,24,80,48,15,125,6,57,22,74,6,11,31,11,20,412,46,4,16,15,23,61,17,3,11,69,0,11,160,30,6,33,0,315,28,8,2,9,6,104,54,32,12,10,12,22,11,8,3,28,228,7,50,12,19,14,125,45,1,7,7,30,3,11,325,5,76,0,11,11,1,0,6,224,46,2,26,2,91,0
txt/idzie-zolnierz-borem-lasem.txt,"Idzie żołnierz borem, lasem: ",266,1,39,13,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,4,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,2,0,1,2,1,2,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0
txt/fraszki-ksiegi-wtore-do-boginiej.txt,"Jan Kochanowski: Fraszki, Księgi wtóre (Do boginiej)",145,0,19,4,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,5,0,0,0,0,1,1,0,0,1,0,0,0,3,0,0,0,0,5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
txt/choinka.txt,Hans Christian Andersen: Choinka (tłum. Cecylia Niewiadomska),3447,57,288,181,40,36,5,1,27,9,4,5,1,1,2,0,27,2,8,3,29,1,1,3,2,9,109,18,1,0,8,0,10,5,0,0,5,0,10,61,4,5,0,3,44,0,0,2,1,1,30,3,12,5,18,1,4,4,0,1,1,68,1,18,7,9,8,40,7,0,1,12,15,2,0,53,0,3,4,0,9,1,0,0,48,16,2,13,10,16,4
txt/korotynski-czem-chata-bogata-tem-rada-wicinnik-na-wiosne.txt,"Wincenty Korotyński: Czem chata bogata, tem rada (Wicinnik na wiosnę)",183,10,17,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,6,3,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,3,0,0,0,0,1,0
txt/leda.txt,Kazimierz Przerwa-Tetmajer: Leda,155,0,11,6,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,1,0,0,1,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
txt/napoj-cienisty-zly-jar.txt,Bolesław Leśmian: Napój cienisty (Zły jar),114,13,6,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0
txt/dziejba-lesna-i-zachod.txt,Bolesław Leśmian: Dziejba leśna (Zachód),86,4,9,2,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0,2,1,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
txt/pan-wolodyjowski.txt,Henryk Sienkiewicz: Pan Wołodyjowski,190188,2921,16990,7220,1002,1760,161,131,1044,86,203,144,178,824,362,117,698,130,190,386,1671,62,46,332,109,131,5816,809,148,281,452,179,626,81,8,226,308,50,248,2913,273,147,113,26,3187,139,16,37,71,101,756,643,954,298,166,5,265,371,324,67,254,4248,14,880,292,272,251,1832,407,28,71,405,363,122,129,3461,92,367,5,49,147,46,1,97,2426,788,245,364,50,1725,151
txt/fraszki-ksiegi-pierwsze-o-fraszkach-komu-sto-fraszek-zda-sie.txt,"Jan Kochanowski: Fraszki, Księgi pierwsze (O fraszkach)",23,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
txt/gusla-i-pejzaz.txt,Jerzy Liebert: I (Pejzaż),61,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
